Job_title,Hourly_salary,Annual_salary,Salary_Frequency,Location,Source,Scrape_Date
Building Cleaning and Pest Control Workers,16.22,"33,730",Hourly | Annual,US,BLS.gov,2023-12-01
Building Cleaning Workers,16.09,"33,470",Hourly | Annual,US,BLS.gov,2023-12-01
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",16.33,"33,960",Hourly | Annual,US,BLS.gov,2023-12-01
Maids and Housekeeping Cleaners,15.35,"31,920",Hourly | Annual,US,BLS.gov,2023-12-01
"Building Cleaning Workers, All Other",19.89,"41,360",Hourly | Annual,US,BLS.gov,2023-12-01
Pest Control Workers,20.29,"42,210",Hourly | Annual,US,BLS.gov,2023-12-01
Grounds Maintenance Workers,18.32,"38,100",Hourly | Annual,US,BLS.gov,2023-12-01
Landscaping and Groundskeeping Workers,17.92,"37,270",Hourly | Annual,US,BLS.gov,2023-12-01
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",20.46,"42,560",Hourly | Annual,US,BLS.gov,2023-12-01
Tree Trimmers and Pruners,23.95,"49,820",Hourly | Annual,US,BLS.gov,2023-12-01
"Grounds Maintenance Workers, All Other",21.03,"43,750",Hourly | Annual,US,BLS.gov,2023-12-01
Personal Care and Service Occupations,17.41,"36,210",Hourly | Annual,US,BLS.gov,2023-12-01
Supervisors of Personal Care and Service Workers,23.46,"48,790",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Entertainment and Recreation Workers,24.19,"50,310",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Gambling Services Workers,27.11,"56,400",Hourly | Annual,US,BLS.gov,2023-12-01
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",23.38,"48,630",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Personal Service Workers,22.75,"47,330",Hourly | Annual,US,BLS.gov,2023-12-01
Animal Care and Service Workers,15.76,"32,780",Hourly | Annual,US,BLS.gov,2023-12-01
Animal Trainers,20.11,"41,820",Hourly | Annual,US,BLS.gov,2023-12-01
Animal Caretakers,15.46,"32,160",Hourly | Annual,US,BLS.gov,2023-12-01
Entertainment Attendants and Related Workers,14.34,"29,830",Hourly | Annual,US,BLS.gov,2023-12-01
Gambling Services Workers,16.43,"34,170",Hourly | Annual,US,BLS.gov,2023-12-01
Gambling Dealers,16.51,"34,350",Hourly | Annual,US,BLS.gov,2023-12-01
Gambling and Sports Book Writers and Runners,15.53,"32,310",Hourly | Annual,US,BLS.gov,2023-12-01
"Gambling Service Workers, All Other",16.51,"34,340",Hourly | Annual,US,BLS.gov,2023-12-01
Motion Picture Projectionists,17.17,"35,710",Hourly | Annual,US,BLS.gov,2023-12-01
"Ushers, Lobby Attendants, and Ticket Takers",13.80,"28,700",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Entertainment Attendants and Related Workers,13.93,"28,980",Hourly | Annual,US,BLS.gov,2023-12-01
Amusement and Recreation Attendants,13.63,"28,350",Hourly | Annual,US,BLS.gov,2023-12-01
Costume Attendants,26.48,"55,070",Hourly | Annual,US,BLS.gov,2023-12-01
"Locker Room, Coatroom, and Dressing Room Attendants",15.66,"32,560",Hourly | Annual,US,BLS.gov,2023-12-01
"Entertainment Attendants and Related Workers, All Other",14.81,"30,810",Hourly | Annual,US,BLS.gov,2023-12-01
Funeral Service Workers,21.64,"45,010",Hourly | Annual,US,BLS.gov,2023-12-01
Embalmers and Crematory Operators,23.77,"49,440",Hourly | Annual,US,BLS.gov,2023-12-01
Embalmers,26.02,"54,120",Hourly | Annual,US,BLS.gov,2023-12-01
Crematory Operators,20.73,"43,120",Hourly | Annual,US,BLS.gov,2023-12-01
Funeral Attendants,16.51,"34,340",Hourly | Annual,US,BLS.gov,2023-12-01
"Morticians, Undertakers, and Funeral Arrangers",28.09,"58,430",Hourly | Annual,US,BLS.gov,2023-12-01
Personal Appearance Workers,18.61,"38,720",Hourly | Annual,US,BLS.gov,2023-12-01
"Barbers, Hairdressers, Hairstylists and Cosmetologists",18.72,"38,930",Hourly | Annual,US,BLS.gov,2023-12-01
Barbers,18.92,"39,350",Hourly | Annual,US,BLS.gov,2023-12-01
"Hairdressers, Hairstylists, and Cosmetologists",18.71,"38,910",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Personal Appearance Workers,18.46,"38,400",Hourly | Annual,US,BLS.gov,2023-12-01
"Makeup Artists, Theatrical and Performance",45.12,"93,850",Hourly | Annual,US,BLS.gov,2023-12-01
Manicurists and Pedicurists,16.14,"33,560",Hourly | Annual,US,BLS.gov,2023-12-01
Shampooers,13.40,"27,870",Hourly | Annual,US,BLS.gov,2023-12-01
Skincare Specialists,22.98,"47,790",Hourly | Annual,US,BLS.gov,2023-12-01
"Baggage Porters, Bellhops, and Concierges",17.38,"36,140",Hourly | Annual,US,BLS.gov,2023-12-01
Baggage Porters and Bellhops,15.93,"33,130",Hourly | Annual,US,BLS.gov,2023-12-01
Concierges,18.40,"38,270",Hourly | Annual,US,BLS.gov,2023-12-01
Tour and Travel Guides,18.17,"37,790",Hourly | Annual,US,BLS.gov,2023-12-01
Other Personal Care and Service Workers,17.35,"36,080",Hourly | Annual,US,BLS.gov,2023-12-01
Childcare Workers,14.22,"29,570",Hourly | Annual,US,BLS.gov,2023-12-01
Recreation and Fitness Workers,20.13,"41,870",Hourly | Annual,US,BLS.gov,2023-12-01
Exercise Trainers and Group Fitness Instructors,24.12,"50,170",Hourly | Annual,US,BLS.gov,2023-12-01
Recreation Workers,16.43,"34,170",Hourly | Annual,US,BLS.gov,2023-12-01
Residential Advisors,18.04,"37,530",Hourly | Annual,US,BLS.gov,2023-12-01
"Personal Care and Service Workers, All Other",16.14,"33,580",Hourly | Annual,US,BLS.gov,2023-12-01
Sales and Related Occupations,24.22,"50,370",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Sales Workers,28.10,"58,450",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Retail Sales Workers,24.10,"50,130",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Non-Retail Sales Workers,46.58,"96,890",Hourly | Annual,US,BLS.gov,2023-12-01
Retail Sales Workers,15.62,"32,500",Hourly | Annual,US,BLS.gov,2023-12-01
Cashiers,13.83,"28,760",Hourly | Annual,US,BLS.gov,2023-12-01
Cashiers,13.81,"28,730",Hourly | Annual,US,BLS.gov,2023-12-01
Gambling Change Persons and Booth Cashiers,15.84,"32,950",Hourly | Annual,US,BLS.gov,2023-12-01
Counter and Rental Clerks and Parts Salespersons,18.89,"39,290",Hourly | Annual,US,BLS.gov,2023-12-01
Counter and Rental Clerks,18.90,"39,320",Hourly | Annual,US,BLS.gov,2023-12-01
Parts Salespersons,18.87,"39,250",Hourly | Annual,US,BLS.gov,2023-12-01
Retail Salespersons,16.70,"34,730",Hourly | Annual,US,BLS.gov,2023-12-01
"Sales Representatives, Services",39.05,"81,230",Hourly | Annual,US,BLS.gov,2023-12-01
Advertising Sales Agents,35.22,"73,260",Hourly | Annual,US,BLS.gov,2023-12-01
Insurance Sales Agents,37.00,"76,950",Hourly | Annual,US,BLS.gov,2023-12-01
"Securities, Commodities, and Financial Services Sales Agents",48.43,"100,740",Hourly | Annual,US,BLS.gov,2023-12-01
Travel Agents,23.20,"48,250",Hourly | Annual,US,BLS.gov,2023-12-01
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",37.21,"77,390",Hourly | Annual,US,BLS.gov,2023-12-01
"Sales Representatives, Wholesale and Manufacturing",39.92,"83,030",Hourly | Annual,US,BLS.gov,2023-12-01
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",52.86,"109,950",Hourly | Annual,US,BLS.gov,2023-12-01
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",36.96,"76,890",Hourly | Annual,US,BLS.gov,2023-12-01
Other Sales and Related Workers,31.00,"64,480",Hourly | Annual,US,BLS.gov,2023-12-01
"Models, Demonstrators, and Product Promoters",19.34,"40,230",Hourly | Annual,US,BLS.gov,2023-12-01
Demonstrators and Product Promoters,18.50,"38,470",Hourly | Annual,US,BLS.gov,2023-12-01
Models,37.17,"77,310",Hourly | Annual,US,BLS.gov,2023-12-01
Real Estate Brokers and Sales Agents,34.23,"71,200",Hourly | Annual,US,BLS.gov,2023-12-01
Real Estate Brokers,43.72,"90,930",Hourly | Annual,US,BLS.gov,2023-12-01
Real Estate Sales Agents,31.66,"65,850",Hourly | Annual,US,BLS.gov,2023-12-01
Sales Engineers,60.32,"125,460",Hourly | Annual,US,BLS.gov,2023-12-01
Telemarketers,16.15,"33,600",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Sales and Related Workers,26.48,"55,080",Hourly | Annual,US,BLS.gov,2023-12-01
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",17.44,"36,280",Hourly | Annual,US,BLS.gov,2023-12-01
"Sales and Related Workers, All Other",27.13,"56,440",Hourly | Annual,US,BLS.gov,2023-12-01
Office and Administrative Support Occupations,21.90,"45,550",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Office and Administrative Support Workers,31.49,"65,510",Hourly | Annual,US,BLS.gov,2023-12-01
Communications Equipment Operators,18.21,"37,870",Hourly | Annual,US,BLS.gov,2023-12-01
"Switchboard Operators, Including Answering Service",17.90,"37,230",Hourly | Annual,US,BLS.gov,2023-12-01
Telephone Operators,19.99,"41,590",Hourly | Annual,US,BLS.gov,2023-12-01
"Communications Equipment Operators, All Other",24.11,"50,140",Hourly | Annual,US,BLS.gov,2023-12-01
Financial Clerks,21.92,"45,600",Hourly | Annual,US,BLS.gov,2023-12-01
Bill and Account Collectors,20.59,"42,820",Hourly | Annual,US,BLS.gov,2023-12-01
Billing and Posting Clerks,21.54,"44,800",Hourly | Annual,US,BLS.gov,2023-12-01
"Bookkeeping, Accounting, and Auditing Clerks",22.81,"47,440",Hourly | Annual,US,BLS.gov,2023-12-01
Gambling Cage Workers,16.04,"33,370",Hourly | Annual,US,BLS.gov,2023-12-01
Payroll and Timekeeping Clerks,25.14,"52,300",Hourly | Annual,US,BLS.gov,2023-12-01
Procurement Clerks,22.38,"46,560",Hourly | Annual,US,BLS.gov,2023-12-01
Tellers,17.69,"36,800",Hourly | Annual,US,BLS.gov,2023-12-01
"Financial Clerks, All Other",23.90,"49,710",Hourly | Annual,US,BLS.gov,2023-12-01
Information and Record Clerks,19.47,"40,500",Hourly | Annual,US,BLS.gov,2023-12-01
Brokerage Clerks,28.46,"59,200",Hourly | Annual,US,BLS.gov,2023-12-01
Correspondence Clerks,20.46,"42,560",Hourly | Annual,US,BLS.gov,2023-12-01
"Court, Municipal, and License Clerks",22.25,"46,280",Hourly | Annual,US,BLS.gov,2023-12-01
"Credit Authorizers, Checkers, and Clerks",22.20,"46,180",Hourly | Annual,US,BLS.gov,2023-12-01
Customer Service Representatives,19.80,"41,190",Hourly | Annual,US,BLS.gov,2023-12-01
"Eligibility Interviewers, Government Programs",24.05,"50,020",Hourly | Annual,US,BLS.gov,2023-12-01
File Clerks,19.02,"39,560",Hourly | Annual,US,BLS.gov,2023-12-01
"Hotel, Motel, and Resort Desk Clerks",14.57,"30,300",Hourly | Annual,US,BLS.gov,2023-12-01
"Interviewers, Except Eligibility and Loan",19.78,"41,140",Hourly | Annual,US,BLS.gov,2023-12-01
"Library Assistants, Clerical",16.34,"33,980",Hourly | Annual,US,BLS.gov,2023-12-01
Loan Interviewers and Clerks,22.47,"46,740",Hourly | Annual,US,BLS.gov,2023-12-01
New Accounts Clerks,20.62,"42,880",Hourly | Annual,US,BLS.gov,2023-12-01
Order Clerks,19.49,"40,540",Hourly | Annual,US,BLS.gov,2023-12-01
"Human Resources Assistants, Except Payroll and Timekeeping",22.55,"46,900",Hourly | Annual,US,BLS.gov,2023-12-01
Receptionists and Information Clerks,16.64,"34,600",Hourly | Annual,US,BLS.gov,2023-12-01
Reservation and Transportation Ticket Agents and Travel Clerks,21.84,"45,440",Hourly | Annual,US,BLS.gov,2023-12-01
"Information and Record Clerks, All Other",22.07,"45,910",Hourly | Annual,US,BLS.gov,2023-12-01
"Material Recording, Scheduling, Dispatching, and Distributing Workers",22.97,"47,770",Hourly | Annual,US,BLS.gov,2023-12-01
Cargo and Freight Agents,23.91,"49,740",Hourly | Annual,US,BLS.gov,2023-12-01
Couriers and Messengers,17.43,"36,250",Hourly | Annual,US,BLS.gov,2023-12-01
Dispatchers,23.40,"48,670",Hourly | Annual,US,BLS.gov,2023-12-01
Public Safety Telecommunicators,23.74,"49,370",Hourly | Annual,US,BLS.gov,2023-12-01
"Dispatchers, Except Police, Fire, and Ambulance",23.25,"48,350",Hourly | Annual,US,BLS.gov,2023-12-01
"Meter Readers, Utilities",23.94,"49,800",Hourly | Annual,US,BLS.gov,2023-12-01
Postal Service Workers,26.69,"55,520",Hourly | Annual,US,BLS.gov,2023-12-01
Postal Service Clerks,27.11,"56,400",Hourly | Annual,US,BLS.gov,2023-12-01
Postal Service Mail Carriers,27.04,"56,240",Hourly | Annual,US,BLS.gov,2023-12-01
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",25.48,"52,990",Hourly | Annual,US,BLS.gov,2023-12-01
"Production, Planning, and Expediting Clerks",26.48,"55,080",Hourly | Annual,US,BLS.gov,2023-12-01
"Shipping, Receiving, and Inventory Clerks",19.45,"40,450",Hourly | Annual,US,BLS.gov,2023-12-01
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",19.94,"41,470",Hourly | Annual,US,BLS.gov,2023-12-01
Secretaries and Administrative Assistants,22.92,"47,670",Hourly | Annual,US,BLS.gov,2023-12-01
Executive Secretaries and Executive Administrative Assistants,34.16,"71,060",Hourly | Annual,US,BLS.gov,2023-12-01
Legal Secretaries and Administrative Assistants,26.05,"54,180",Hourly | Annual,US,BLS.gov,2023-12-01
Medical Secretaries and Administrative Assistants,19.84,"41,260",Hourly | Annual,US,BLS.gov,2023-12-01
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",20.87,"43,410",Hourly | Annual,US,BLS.gov,2023-12-01
Other Office and Administrative Support Workers,19.98,"41,550",Hourly | Annual,US,BLS.gov,2023-12-01
Data Entry and Information Processing Workers,18.97,"39,450",Hourly | Annual,US,BLS.gov,2023-12-01
Data Entry Keyers,18.26,"37,970",Hourly | Annual,US,BLS.gov,2023-12-01
Word Processors and Typists,21.63,"44,990",Hourly | Annual,US,BLS.gov,2023-12-01
Desktop Publishers,25.67,"53,390",Hourly | Annual,US,BLS.gov,2023-12-01
Insurance Claims and Policy Processing Clerks,23.00,"47,840",Hourly | Annual,US,BLS.gov,2023-12-01
"Mail Clerks and Mail Machine Operators, Except Postal Service",17.41,"36,210",Hourly | Annual,US,BLS.gov,2023-12-01
"Office Clerks, General",19.78,"41,140",Hourly | Annual,US,BLS.gov,2023-12-01
"Office Machine Operators, Except Computer",18.41,"38,300",Hourly | Annual,US,BLS.gov,2023-12-01
Proofreaders and Copy Markers,23.45,"48,770",Hourly | Annual,US,BLS.gov,2023-12-01
Statistical Assistants,26.26,"54,630",Hourly | Annual,US,BLS.gov,2023-12-01
"Office and Administrative Support Workers, All Other",20.75,"43,150",Hourly | Annual,US,BLS.gov,2023-12-01
"Farming, Fishing, and Forestry Occupations",18.21,"37,870",Hourly | Annual,US,BLS.gov,2023-12-01
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",28.28,"58,820",Hourly | Annual,US,BLS.gov,2023-12-01
Agricultural Workers,17.04,"35,440",Hourly | Annual,US,BLS.gov,2023-12-01
Agricultural Inspectors,23.57,"49,020",Hourly | Annual,US,BLS.gov,2023-12-01
Animal Breeders,23.39,"48,650",Hourly | Annual,US,BLS.gov,2023-12-01
"Graders and Sorters, Agricultural Products",15.86,"32,990",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Agricultural Workers,16.84,"35,020",Hourly | Annual,US,BLS.gov,2023-12-01
Agricultural Equipment Operators,19.11,"39,750",Hourly | Annual,US,BLS.gov,2023-12-01
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",16.49,"34,300",Hourly | Annual,US,BLS.gov,2023-12-01
"Farmworkers, Farm, Ranch, and Aquacultural Animals",17.45,"36,290",Hourly | Annual,US,BLS.gov,2023-12-01
"Agricultural Workers, All Other",18.84,"39,180",Hourly | Annual,US,BLS.gov,2023-12-01
"Forest, Conservation, and Logging Workers",22.22,"46,210",Hourly | Annual,US,BLS.gov,2023-12-01
Forest and Conservation Workers,17.31,"36,010",Hourly | Annual,US,BLS.gov,2023-12-01
Logging Workers,23.03,"47,900",Hourly | Annual,US,BLS.gov,2023-12-01
Fallers,27.95,"58,130",Hourly | Annual,US,BLS.gov,2023-12-01
Logging Equipment Operators,22.39,"46,570",Hourly | Annual,US,BLS.gov,2023-12-01
Log Graders and Scalers,21.43,"44,570",Hourly | Annual,US,BLS.gov,2023-12-01
"Logging Workers, All Other",23.01,"47,850",Hourly | Annual,US,BLS.gov,2023-12-01
Construction and Extraction Occupations,28.08,"58,400",Hourly | Annual,US,BLS.gov,2023-12-01
First-Line Supervisors of Construction Trades and Extraction Workers,37.33,"77,650",Hourly | Annual,US,BLS.gov,2023-12-01
Construction Trades Workers,27.17,"56,510",Hourly | Annual,US,BLS.gov,2023-12-01
Boilermakers,33.55,"69,780",Hourly | Annual,US,BLS.gov,2023-12-01
"Brickmasons, Blockmasons, and Stonemasons",29.52,"61,400",Hourly | Annual,US,BLS.gov,2023-12-01
Brickmasons and Blockmasons,29.99,"62,380",Hourly | Annual,US,BLS.gov,2023-12-01
Stonemasons,26.97,"56,100",Hourly | Annual,US,BLS.gov,2023-12-01
Carpenters,27.99,"58,210",Hourly | Annual,US,BLS.gov,2023-12-01
"Carpet, Floor, and Tile Installers and Finishers",25.43,"52,880",Hourly | Annual,US,BLS.gov,2023-12-01
Carpet Installers,23.81,"49,520",Hourly | Annual,US,BLS.gov,2023-12-01
"Floor Layers, Except Carpet, Wood, and Hard Tiles",26.38,"54,870",Hourly | Annual,US,BLS.gov,2023-12-01
Floor Sanders and Finishers,23.72,"49,330",Hourly | Annual,US,BLS.gov,2023-12-01
Tile and Stone Setters,25.81,"53,680",Hourly | Annual,US,BLS.gov,2023-12-01
"Cement Masons, Concrete Finishers, and Terrazzo Workers",25.94,"53,950",Hourly | Annual,US,BLS.gov,2023-12-01
Cement Masons and Concrete Finishers,25.91,"53,890",Hourly | Annual,US,BLS.gov,2023-12-01
Terrazzo Workers and Finishers,29.66,"61,680",Hourly | Annual,US,BLS.gov,2023-12-01
Construction Laborers,22.29,"46,350",Hourly | Annual,US,BLS.gov,2023-12-01
Construction Equipment Operators,28.32,"58,910",Hourly | Annual,US,BLS.gov,2023-12-01
"Paving, Surfacing, and Tamping Equipment Operators",25.35,"52,730",Hourly | Annual,US,BLS.gov,2023-12-01
Pile Driver Operators,33.76,"70,220",Hourly | Annual,US,BLS.gov,2023-12-01
Operating Engineers and Other Construction Equipment Operators,28.57,"59,420",Hourly | Annual,US,BLS.gov,2023-12-01
"Drywall Installers, Ceiling Tile Installers, and Tapers",28.35,"58,960",Hourly | Annual,US,BLS.gov,2023-12-01
Drywall and Ceiling Tile Installers,27.83,"57,880",Hourly | Annual,US,BLS.gov,2023-12-01
Tapers,31.67,"65,880",Hourly | Annual,US,BLS.gov,2023-12-01
Electricians,31.39,"65,280",Hourly | Annual,US,BLS.gov,2023-12-01
Glaziers,26.52,"55,160",Hourly | Annual,US,BLS.gov,2023-12-01
Insulation Workers,25.64,"53,330",Hourly | Annual,US,BLS.gov,2023-12-01
"Insulation Workers, Floor, Ceiling, and Wall",23.49,"48,870",Hourly | Annual,US,BLS.gov,2023-12-01
"Insulation Workers, Mechanical",28.42,"59,100",Hourly | Annual,US,BLS.gov,2023-12-01
Painters and Paperhangers,23.73,"49,350",Hourly | Annual,US,BLS.gov,2023-12-01
"Painters, Construction and Maintenance",23.73,"49,350",Hourly | Annual,US,BLS.gov,2023-12-01
Paperhangers,23.57,"49,030",Hourly | Annual,US,BLS.gov,2023-12-01
"Pipelayers, Plumbers, Pipefitters, and Steamfitters",30.82,"64,110",Hourly | Annual,US,BLS.gov,2023-12-01
Pipelayers,24.63,"51,230",Hourly | Annual,US,BLS.gov,2023-12-01
"Plumbers, Pipefitters, and Steamfitters",31.34,"65,190",Hourly | Annual,US,BLS.gov,2023-12-01
Plasterers and Stucco Masons,26.75,"55,650",Hourly | Annual,US,BLS.gov,2023-12-01
Reinforcing Iron and Rebar Workers,27.78,"57,780",Hourly | Annual,US,BLS.gov,2023-12-01
Roofers,24.96,"51,910",Hourly | Annual,US,BLS.gov,2023-12-01
Sheet Metal Workers,29.47,"61,300",Hourly | Annual,US,BLS.gov,2023-12-01
Structural Iron and Steel Workers,31.15,"64,800",Hourly | Annual,US,BLS.gov,2023-12-01
Solar Photovoltaic Installers,23.06,"47,970",Hourly | Annual,US,BLS.gov,2023-12-01
"Helpers, Construction Trades",18.90,"39,320",Hourly | Annual,US,BLS.gov,2023-12-01
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",21.27,"44,230",Hourly | Annual,US,BLS.gov,2023-12-01
Helpers--Carpenters,18.69,"38,880",Hourly | Annual,US,BLS.gov,2023-12-01
Helpers--Electricians,18.67,"38,840",Hourly | Annual,US,BLS.gov,2023-12-01
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",18.29,"38,040",Hourly | Annual,US,BLS.gov,2023-12-01
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",18.07,"37,590",Hourly | Annual,US,BLS.gov,2023-12-01
Helpers--Roofers,19.65,"40,880",Hourly | Annual,US,BLS.gov,2023-12-01
"Helpers, Construction Trades, All Other",19.61,"40,790",Hourly | Annual,US,BLS.gov,2023-12-01
Other Construction and Related Workers,27.40,"56,990",Hourly | Annual,US,BLS.gov,2023-12-01
Construction and Building Inspectors,33.72,"70,130",Hourly | Annual,US,BLS.gov,2023-12-01
Elevator and Escalator Installers and Repairers,45.17,"93,960",Hourly | Annual,US,BLS.gov,2023-12-01
Fence Erectors,21.05,"43,780",Hourly | Annual,US,BLS.gov,2023-12-01
Hazardous Materials Removal Workers,24.82,"51,620",Hourly | Annual,US,BLS.gov,2023-12-01
Highway Maintenance Workers,22.02,"45,790",Hourly | Annual,US,BLS.gov,2023-12-01
Rail-Track Laying and Maintenance Equipment Operators,30.69,"63,840",Hourly | Annual,US,BLS.gov,2023-12-01
Septic Tank Servicers and Sewer Pipe Cleaners,22.87,"47,580",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Construction and Related Workers,23.37,"48,620",Hourly | Annual,US,BLS.gov,2023-12-01
Extraction Workers,25.89,"53,850",Hourly | Annual,US,BLS.gov,2023-12-01
"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",27.51,"57,210",Hourly | Annual,US,BLS.gov,2023-12-01
"Derrick Operators, Oil and Gas",25.85,"53,770",Hourly | Annual,US,BLS.gov,2023-12-01
"Rotary Drill Operators, Oil and Gas",29.06,"60,450",Hourly | Annual,US,BLS.gov,2023-12-01
"Service Unit Operators, Oil and Gas",27.49,"57,170",Hourly | Annual,US,BLS.gov,2023-12-01
Surface Mining Machine Operators and Earth Drillers,26.37,"54,850",Hourly | Annual,US,BLS.gov,2023-12-01
"Excavating and Loading Machine and Dragline Operators, Surface Mining",25.72,"53,490",Hourly | Annual,US,BLS.gov,2023-12-01
"Earth Drillers, Except Oil and Gas",27.52,"57,250",Hourly | Annual,US,BLS.gov,2023-12-01
"Explosives Workers, Ordnance Handling Experts, and Blasters",29.60,"61,560",Hourly | Annual,US,BLS.gov,2023-12-01
Underground Mining Machine Operators,28.53,"59,340",Hourly | Annual,US,BLS.gov,2023-12-01
Continuous Mining Machine Operators,27.46,"57,120",Hourly | Annual,US,BLS.gov,2023-12-01
"Roof Bolters, Mining",30.77,"63,990",Hourly | Annual,US,BLS.gov,2023-12-01
"Loading and Moving Machine Operators, Underground Mining",30.01,"62,420",Hourly | Annual,US,BLS.gov,2023-12-01
"Underground Mining Machine Operators, All Other",29.81,"61,990",Hourly | Annual,US,BLS.gov,2023-12-01
"Rock Splitters, Quarry",22.60,"47,010",Hourly | Annual,US,BLS.gov,2023-12-01
"Roustabouts, Oil and Gas",21.99,"45,750",Hourly | Annual,US,BLS.gov,2023-12-01
Helpers--Extraction Workers,21.35,"44,410",Hourly | Annual,US,BLS.gov,2023-12-01
"Extraction Workers, All Other",25.59,"53,220",Hourly | Annual,US,BLS.gov,2023-12-01
"Installation, Maintenance, and Repair Occupations",26.77,"55,680",Hourly | Annual,US,BLS.gov,2023-12-01
"First-Line Supervisors of Mechanics, Installers, and Repairers",36.55,"76,020",Hourly | Annual,US,BLS.gov,2023-12-01
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",28.61,"59,500",Hourly | Annual,US,BLS.gov,2023-12-01
"Computer, Automated Teller, and Office Machine Repairers",22.66,"47,120",Hourly | Annual,US,BLS.gov,2023-12-01
Radio and Telecommunications Equipment Installers and Repairers,29.68,"61,730",Hourly | Annual,US,BLS.gov,2023-12-01
"Radio, Cellular, and Tower Equipment Installers and Repairers",30.08,"62,570",Hourly | Annual,US,BLS.gov,2023-12-01
"Telecommunications Equipment Installers and Repairers, Except Line Installers",29.65,"61,670",Hourly | Annual,US,BLS.gov,2023-12-01
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",29.85,"62,090",Hourly | Annual,US,BLS.gov,2023-12-01
Avionics Technicians,35.93,"74,730",Hourly | Annual,US,BLS.gov,2023-12-01
"Electric Motor, Power Tool, and Related Repairers",24.76,"51,500",Hourly | Annual,US,BLS.gov,2023-12-01
"Electrical and Electronics Installers and Repairers, Transportation Equipment",34.49,"71,740",Hourly | Annual,US,BLS.gov,2023-12-01
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",32.05,"66,650",Hourly | Annual,US,BLS.gov,2023-12-01
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",42.68,"88,770",Hourly | Annual,US,BLS.gov,2023-12-01
"Electronic Equipment Installers and Repairers, Motor Vehicles",21.98,"45,720",Hourly | Annual,US,BLS.gov,2023-12-01
Audiovisual Equipment Installers and Repairers,23.29,"48,450",Hourly | Annual,US,BLS.gov,2023-12-01
Security and Fire Alarm Systems Installers,26.10,"54,280",Hourly | Annual,US,BLS.gov,2023-12-01
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",25.36,"52,750",Hourly | Annual,US,BLS.gov,2023-12-01
Aircraft Mechanics and Service Technicians,34.92,"72,640",Hourly | Annual,US,BLS.gov,2023-12-01
Automotive Technicians and Repairers,24.12,"50,170",Hourly | Annual,US,BLS.gov,2023-12-01
Automotive Body and Related Repairers,25.59,"53,220",Hourly | Annual,US,BLS.gov,2023-12-01
Automotive Glass Installers and Repairers,21.11,"43,900",Hourly | Annual,US,BLS.gov,2023-12-01
Automotive Service Technicians and Mechanics,23.89,"49,690",Hourly | Annual,US,BLS.gov,2023-12-01
Bus and Truck Mechanics and Diesel Engine Specialists,26.99,"56,140",Hourly | Annual,US,BLS.gov,2023-12-01
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,27.98,"58,190",Hourly | Annual,US,BLS.gov,2023-12-01
Farm Equipment Mechanics and Service Technicians,24.00,"49,930",Hourly | Annual,US,BLS.gov,2023-12-01
"Mobile Heavy Equipment Mechanics, Except Engines",28.64,"59,560",Hourly | Annual,US,BLS.gov,2023-12-01
Rail Car Repairers,29.79,"61,960",Hourly | Annual,US,BLS.gov,2023-12-01
Small Engine Mechanics,21.90,"45,560",Hourly | Annual,US,BLS.gov,2023-12-01
